DATE,HOMICIDIOS_MUJERES
1-1-2020,5
1-1-2021,1
1-1-2022,1
1-1-2022,20
1-1-2022,7
1-1-2022,22
1-10-2022,11
1-11-2022,9
1-12-2022,8
1-13-2022,5
1-14-2022,8
1-15-2022,10
1-16-2020,1
1-16-2022,11
1-17-2022,14
1-18-2022,14
1-19-2022,11
1-2-2022,10
1-20-2022,7
1-21-2022,11
1-22-2020,1
1-22-2022,10
1-23-2022,8
1-24-2022,10
1-25-2022,10
1-26-2022,4
1-27-2022,12
1-28-2022,8
1-29-2022,15
1-3-2020,1
1-3-2022,5
1-30-2022,10
1-31-2017,1
1-31-2020,1
1-31-2022,8
1-4-2022,6
1-5-2017,1
1-5-2022,17
1-6-2022,10
1-7-2022,15
1-8-2022,13
1-9-2022,12
10-1-2019,1
10-1-2022,6
10-10-2021,1
10-10-2022,10
10-11-2020,2
10-11-2021,1
10-11-2022,11
10-12-2022,8
10-13-2022,14
10-14-2019,1
10-14-2020,1
10-14-2022,7
10-15-2022,14
10-16-2022,8
10-17-2020,1
10-17-2022,12
10-18-2022,6
10-19-2022,5
10-2-2022,10
10-20-2022,9
10-21-2022,14
10-22-2015,1
10-22-2022,6
10-23-2022,5
10-24-2022,13
10-25-2022,17
10-26-2022,9
10-27-2022,6
10-28-2022,11
10-29-2022,16
10-3-2022,10
10-30-2020,1
10-30-2021,1
10-30-2022,10
10-31-2020,1
10-31-2022,11
10-4-2022,9
10-5-2022,11
10-6-2022,13
10-7-2022,6
10-8-2022,10
10-9-2010,1
10-9-2021,2
10-9-2022,6
11-1-2022,1
11-1-2022,9
11-10-2019,1
11-10-2022,7
11-11-2022,12
11-12-2022,5
11-13-2021,1
11-13-2022,5
11-14-2022,8
11-15-2021,1
11-15-2022,8
11-16-2022,5
11-17-2021,1
11-17-2022,6
11-18-2021,1
11-18-2022,15
11-19-2021,1
11-19-2022,8
11-2-2021,1
11-2-2022,5
11-20-2022,6
11-21-2021,2
11-21-2022,13
11-22-2021,1
11-22-2022,16
11-23-2019,1
11-23-2021,2
11-23-2022,13
11-24-2022,12
11-25-2022,9
11-26-2022,9
11-27-2022,11
11-28-2021,1
11-28-2022,10
11-29-2021,1
11-29-2022,7
11-3-2022,8
