DATE,HOMICIDIOS_MUJERES
1-1-2014,1
1-1-2015,1
1-1-2016,9
1-1-2016,14
1-1-2022,6
1-10-2016,2
1-11-2016,3
1-12-2016,7
1-13-2016,5
1-14-2016,3
1-15-2016,12
1-16-2016,6
1-17-2016,4
1-18-2016,6
1-19-2016,1
1-2-2016,11
1-20-2016,6
1-21-2016,5
1-22-2016,14
1-23-2016,3
1-24-2016,10
1-25-2016,8
1-26-2016,4
1-27-2016,8
1-28-2016,5
1-29-2016,9
1-3-2016,6
1-30-2016,3
1-31-2016,11
1-4-2016,1
1-5-2016,8
1-6-2016,5
1-7-2016,6
1-8-2016,5
1-9-2016,5
10-1-2015,1
10-1-2016,6
10-1-2016,1
10-10-2016,8
10-11-2016,4
10-12-2015,1
10-12-2016,7
10-13-2016,8
10-14-2016,9
10-15-2016,12
10-16-2016,5
10-17-2016,8
10-18-2016,13
10-19-2016,7
10-2-2016,13
10-20-2016,1
10-21-2016,5
10-22-2016,12
10-23-2016,8
10-24-2016,7
10-25-2016,7
10-26-2016,3
10-27-2016,6
10-28-2016,8
10-29-2016,11
10-3-2016,3
10-30-2016,13
10-31-2016,7
10-4-2016,7
10-5-2016,6
10-6-2016,9
10-7-2016,3
10-8-2016,6
10-9-2016,8
11-1-2003,1
11-1-2016,4
11-1-2016,1
11-10-2015,1
11-10-2016,8
11-11-2015,1
11-11-2016,4
11-12-2016,7
11-13-2016,3
11-14-2015,1
11-14-2016,11
11-15-2015,1
11-15-2016,7
11-16-2016,6
11-17-2015,1
11-17-2016,4
11-18-2016,6
11-19-2016,9
11-2-2016,5
11-20-2016,16
11-21-2015,1
11-21-2016,9
11-22-2015,1
11-22-2016,8
11-23-2015,1
11-23-2016,6
11-24-2015,2
11-24-2016,7
11-25-2016,9
11-26-2016,5
11-27-2016,9
11-28-2016,8
11-29-2016,7
11-3-2016,10
11-30-2016,8
11-4-2016,12
11-5-2016,5
11-6-2016,7
11-7-2011,1
11-7-2016,8
11-8-2016,2
11-9-2016,8
12-1-2015,1
12-1-2016,2
12-1-2016,1
12-10-2016,5
12-11-2015,1
12-11-2016,11
12-12-2015,2
12-12-2016,11
12-13-2016,6
12-14-2016,7
12-15-2015,1
12-15-2016,9
12-16-2015,1
12-16-2016,12
12-17-2015,1
12-17-2016,7
12-18-2011,1
12-18-2016,8
12-19-2015,1
12-19-2016,11
12-2-2015,1
12-2-2016,4
12-20-2016,14
12-21-2016,7
12-22-2015,1
12-22-2016,10
12-23-2016,3
12-24-2016,6
12-25-2016,13
12-26-2016,7
12-27-2015,1
12-27-2016,4
12-28-2015,1
12-28-2016,10
12-29-2016,3
12-3-2016,6
12-30-2012,1
12-30-2015,1
12-30-2016,11
12-31-2015,2
12-31-2016,3
12-4-2016,9
12-5-2016,10
12-6-2016,6
12-7-2016,7
12-8-2016,7
12-9-2016,6
2-1-2015,1
2-1-2016,7
2-10-2016,3
2-11-2016,4
2-12-2016,10
2-13-2016,4
2-14-2016,8
2-15-2016,8
2-16-2015,1
2-16-2016,10
2-17-2016,10
2-18-2016,7
2-19-2016,9
2-2-2016,7
2-20-2016,5
2-21-2016,6
2-22-2016,4
2-23-2016,5
2-24-2016,7
2-25-2016,10
2-26-2016,4
2-27-2016,8
2-28-2016,10
2-29-2016,3
2-3-2016,1
2-4-2016,4
2-5-2016,6
2-6-2016,5
2-7-2016,9
2-8-2016,8
2-9-2016,7
3-1-2015,1
3-1-2016,4
3-1-2016,5
3-10-2015,1
3-10-2016,9
3-11-2015,1
3-11-2016,5
3-12-2016,6
3-13-2016,6
3-14-2016,7
3-15-2016,11
3-16-2016,4
3-17-2016,5
3-18-2016,5
3-19-2016,10
3-2-2016,11
3-20-2011,1
3-20-2016,7
3-21-2016,9
3-22-2016,8
3-23-2016,8
3-24-2015,1
3-24-2016,4
3-25-2016,5
3-26-2016,12
3-27-2016,3
3-28-2016,6
3-29-2016,9
3-3-2016,9
3-30-2016,7
3-31-2016,12
3-4-2016,6
3-5-2016,5
3-6-2016,11
3-7-2016,5
3-8-2016,1
3-9-2016,7
4-1-2016,4
4-1-2016,13
4-10-2016,13
4-11-2016,8
4-12-2016,8
4-13-2016,6
4-14-2016,7
4-15-2016,4
4-16-2016,10
4-17-2015,1
4-17-2016,9
4-18-2016,5
4-19-2016,9
4-2-2016,3
4-20-2016,8
4-21-2016,5
4-22-2015,1
4-22-2016,8
4-23-2016,7
4-24-2016,8
4-25-2015,1
4-25-2016,5
4-26-2016,4
4-27-2016,5
4-28-2016,5
4-29-2016,14
4-3-2016,2
4-30-2016,6
4-4-2016,3
4-5-2016,12
4-6-2016,8
4-7-2016,7
4-8-2016,9
4-9-2016,11
5-1-2016,3
5-1-2016,14
5-10-2016,5
5-11-2016,6
5-12-2014,1
5-12-2015,1
5-12-2016,8
5-13-2016,5
5-14-2016,3
5-15-2016,8
5-16-2016,2
5-17-2016,4
5-18-2016,6
5-19-2016,5
5-2-2015,1
5-2-2016,11
5-20-2016,7
5-21-2016,13
5-22-2016,8
5-23-2015,2
5-23-2016,5
5-24-2016,17
5-25-2016,6
5-26-2014,1
5-26-2016,4
5-27-2016,6
5-28-2016,13
5-29-2016,13
5-3-2016,9
5-30-2016,12
5-31-2016,5
5-4-2016,9
5-5-2016,3
5-6-2016,3
5-7-2016,8
5-8-2016,4
5-9-2016,10
6-1-2016,2
6-1-2016,8
6-10-2016,11
6-11-2016,10
6-12-2016,7
6-13-2016,9
6-14-2016,12
6-15-2016,6
6-16-2016,8
6-17-2016,8
6-18-2016,12
6-19-2016,10
6-2-2016,15
6-20-2016,14
6-21-2016,11
6-22-2015,2
6-22-2016,5
6-23-2016,7
6-24-2016,10
6-25-2016,12
6-26-2016,8
6-27-2016,7
6-28-2016,5
6-29-2016,8
6-3-2016,11
6-30-2016,5
6-4-2016,13
6-5-2016,6
6-6-2016,8
6-7-2016,7
6-8-2016,2
6-9-2016,3
7-1-2014,1
