DATE,HOMICIDIOS_MUJERES
1-1-2007,2
1-1-2007,4
1-10-2007,1
1-11-2007,1
1-12-2007,8
1-13-2007,4
1-14-2007,2
1-15-2007,7
1-16-2007,1
1-17-2007,4
1-18-2007,5
1-19-2007,2
1-2-2007,3
1-20-2007,2
1-21-2007,7
1-22-2007,2
1-23-2007,1
1-24-2007,1
1-25-2007,1
1-27-2007,5
1-28-2007,2
1-29-2007,1
1-3-2007,1
1-30-2007,1
1-4-2004,1
1-4-2007,2
1-6-2007,2
1-7-2007,9
1-8-2007,2
10-1-2007,4
10-10-2007,2
10-11-2007,2
10-12-2007,7
10-13-2007,1
10-14-2007,6
10-15-2007,3
10-16-2007,5
10-17-2007,5
10-18-2007,3
10-19-2007,4
10-2-2007,2
10-20-2007,6
10-21-2007,5
10-22-2007,4
10-23-2007,3
10-24-2007,3
10-25-2007,3
10-26-2007,2
10-27-2007,5
10-28-2007,2
10-29-2007,4
10-3-2007,1
10-30-2007,2
10-31-2007,2
10-4-2006,1
10-4-2007,4
10-5-2007,6
10-6-2007,6
10-7-2007,3
10-8-2007,5
10-9-2007,2
11-1-2007,3
11-10-2003,1
11-10-2006,1
11-10-2007,3
11-11-2007,5
11-12-2007,2
11-13-2007,5
11-14-2007,1
11-15-2007,2
11-16-2007,1
11-18-2007,4
11-19-2007,5
11-2-2007,2
11-20-2007,1
11-21-2007,2
11-22-2007,3
11-23-2007,6
11-24-2006,1
11-24-2007,5
11-25-2007,6
11-26-2007,1
11-27-2007,1
11-28-2007,1
11-29-2007,4
11-3-2007,3
11-30-2007,3
11-4-2007,5
11-5-2006,1
11-5-2007,2
11-6-2007,2
11-7-2007,6
11-9-2007,5
12-1-2007,8
12-10-2007,3
12-11-2007,2
12-12-2007,2
12-13-2006,1
12-13-2007,2
12-14-2007,3
12-15-2007,4
12-16-2007,1
12-17-2007,1
12-18-2006,2
12-18-2007,1
12-2-2006,1
12-2-2007,5
12-20-2007,1
12-21-2006,1
12-21-2007,3
12-22-2007,2
12-23-2006,1
12-24-2006,3
12-25-2007,1
12-26-2006,1
12-26-2007,1
12-27-2007,1
12-28-2006,1
12-29-2006,3
12-29-2007,2
12-3-2007,6
12-30-2006,1
12-30-2007,1
12-31-2006,3
12-4-2007,4
12-5-2007,4
12-6-2007,1
12-7-2007,2
12-8-2007,4
12-9-2007,1
2-1-2007,4
2-11-2007,2
2-12-2007,2
2-13-2007,2
2-14-2007,2
2-17-2007,3
2-18-2007,3
2-19-2007,1
2-2-2007,2
2-20-2007,1
2-21-2007,2
2-22-2007,2
2-23-2007,2
2-25-2007,3
2-26-2007,1
2-27-2007,3
2-28-2004,1
2-28-2007,4
2-3-2007,2
2-4-2007,1
2-5-2007,1
2-6-2007,4
2-7-2007,2
2-8-2007,3
2-9-2007,3
3-1-2007,6
3-10-2007,4
3-11-2007,5
3-12-2007,2
3-13-2007,4
3-14-2007,5
3-15-2007,2
3-16-2007,5
3-17-2007,3
3-18-2007,1
3-19-2007,3
3-20-2007,2
3-21-2007,3
3-22-2007,2
3-23-2007,1
3-24-2007,2
3-26-2007,1
3-27-2007,5
3-28-2007,2
3-29-2007,2
3-3-2007,5
3-30-2007,3
3-31-2007,3
3-4-2007,2
3-5-2007,1
3-6-2007,4
3-7-2007,3
4-1-2007,4
4-10-2007,1
4-11-2007,1
4-12-2007,2
4-13-2007,1
4-14-2007,4
4-15-2007,7
4-16-2007,5
4-17-2007,1
4-18-2007,3
4-19-2007,3
4-2-2007,4
4-20-2007,3
4-21-2007,2
4-22-2007,4
4-23-2007,5
4-24-2006,1
4-24-2007,1
4-25-2007,1
4-27-2007,2
4-28-2007,5
4-29-2007,2
4-3-2007,5
4-30-2007,2
4-4-2007,1
4-5-2007,6
4-6-2007,2
4-7-2007,2
4-8-2007,5
4-9-2007,2
5-1-2006,2
5-1-2007,3
5-1-2007,1
5-10-2007,3
5-11-2007,6
5-12-2007,3
5-14-2007,3
5-15-2007,3
5-16-2007,2
5-17-2007,6
5-18-2007,2
5-19-2007,2
5-2-2007,4
5-20-2007,5
5-21-2007,7
5-22-2007,6
5-23-2007,5
5-24-2007,2
5-25-2007,3
5-26-2007,7
5-27-2007,2
5-28-2007,3
5-29-2007,2
5-3-2007,2
5-30-2007,2
5-4-2007,4
5-5-2007,2
5-6-2007,3
5-7-2007,5
5-8-2007,2
5-9-2007,5
6-1-2007,4
6-10-2007,5
6-11-2007,6
6-12-2007,1
6-13-2007,2
6-14-2007,5
6-15-2007,2
6-16-2007,4
6-17-2007,2
6-18-2007,3
6-2-2007,3
6-20-2007,2
6-22-2007,4
6-23-2007,2
6-24-2007,1
6-25-2007,1
6-26-2007,1
6-27-2007,3
6-28-2007,8
6-29-2007,5
6-3-2007,3
6-30-2007,6
6-4-2007,1
6-5-2007,2
6-6-2007,4
6-7-2007,1
6-8-2007,5
6-9-2007,1
7-1-2007,8
7-10-2007,5
7-11-2007,2
7-12-2007,1
7-13-2007,7
7-14-2007,4
7-15-2007,10
7-16-2007,4
7-17-2007,1
7-18-2007,2
7-19-2007,4
7-2-2007,3
7-21-2007,3
7-22-2007,2
7-23-2007,2
7-24-2007,8
7-25-2007,5
7-26-2007,1
7-27-2007,1
7-28-2007,4
7-29-2007,3
7-3-2007,1
7-30-2007,6
7-31-2007,2
7-4-2007,2
7-5-2004,1
7-5-2006,1
7-5-2007,2
7-6-2007,1
7-7-2007,5
7-8-2007,4
7-9-2007,1
8-1-2007,3
8-10-2007,4
8-11-2007,3
8-12-2007,3
8-13-2007,2
8-14-2007,4
8-15-2007,4
8-16-2007,4
8-17-2007,6
8-18-2007,6
8-19-2007,5
8-2-2007,1
8-20-2007,3
8-21-2007,3
8-22-2007,2
8-23-2007,1
8-24-2007,2
8-25-2007,2
8-26-2007,3
8-27-2007,2
8-28-2007,2
8-29-2007,2
8-3-2007,1
8-30-2007,5
8-31-2007,7
8-5-2004,1
8-5-2007,3
8-6-2007,2
8-7-2007,4
8-8-2007,1
8-9-2007,1
9-1-2006,1
9-1-2007,5
9-1-2007,1
9-10-2005,1
9-10-2007,4
9-11-2007,2
9-12-2007,1
9-13-2006,1
9-13-2007,2
9-14-2007,1
9-15-2007,5
9-16-2007,7
9-17-2007,3
9-18-2007,1
9-19-2007,1
9-2-2007,2
9-20-2007,1
9-21-2007,2
9-22-2007,4
9-23-2007,6
9-24-2007,5
9-25-2007,8
9-26-2007,1
9-27-2007,5
9-29-2007,4
9-3-2007,3
9-30-2007,1
9-4-2007,1
9-5-2007,3
9-6-2007,4
9-7-2007,4
9-8-2007,1
9-9-2007,2
