DATE,HOMICIDIOS_MUJERES
1-1-2001,4
1-1-2001,8
1-1-2022,1
1-10-2001,3
1-11-2001,2
1-12-2001,2
1-13-2001,2
1-14-2001,3
1-15-2001,4
1-16-2001,2
1-17-2001,4
1-18-2001,1
1-19-2001,3
1-2-2000,1
1-2-2001,1
1-20-2001,5
1-21-2001,5
1-22-2001,3
1-23-2001,2
1-24-2001,1
1-25-2001,1
1-26-2001,7
1-27-2001,6
1-28-2000,1
1-28-2001,2
1-29-1999,1
1-29-2001,3
1-3-2001,2
1-30-2001,1
1-31-2001,2
1-4-2001,2
1-5-2001,1
1-6-2001,3
1-7-2001,3
1-8-2001,1
10-1-2001,2
10-10-2001,4
10-11-2001,4
10-13-2001,2
10-14-2001,6
10-15-2001,5
10-16-2001,3
10-17-2001,3
10-18-2001,1
10-19-2001,7
10-2-2001,2
10-20-2001,3
10-21-2001,3
10-22-2001,3
10-23-2001,2
10-24-2001,4
10-25-2001,4
10-26-2001,2
10-27-2001,3
10-28-2000,1
10-28-2001,3
10-29-2000,1
10-29-2001,2
10-3-2001,4
10-30-2001,2
10-31-2001,5
10-4-2001,3
10-5-1999,1
10-5-2001,4
10-6-2001,3
10-7-2001,6
10-8-2001,1
10-9-2001,1
11-1-2001,4
11-10-2001,1
11-11-2001,6
11-12-2001,2
11-13-2001,2
11-14-2001,4
11-15-2000,1
11-16-2001,4
11-17-2001,3
11-18-2001,4
11-19-2001,4
11-2-2001,4
11-20-2001,3
11-21-2001,1
11-22-2001,4
11-23-2001,2
11-24-2001,2
11-25-2001,4
11-26-2000,1
11-26-2001,2
11-27-2001,4
11-28-2000,1
11-28-2001,4
11-29-2001,5
11-3-2001,2
11-30-2001,5
11-4-2001,2
11-5-2001,7
11-6-2001,3
11-7-2001,7
11-8-2000,1
11-8-2001,3
11-9-2000,1
11-9-2001,2
12-1-2001,3
12-10-2001,5
12-11-2001,2
12-12-2001,1
12-13-2001,1
12-14-2001,2
12-15-2001,5
12-16-2001,2
12-17-2001,3
12-18-2001,3
12-19-2001,3
12-2-2001,3
12-20-2001,1
12-21-2001,2
12-22-2000,1
12-22-2001,7
12-23-2001,7
12-24-2000,1
12-24-2001,1
12-25-2001,3
12-26-2001,3
12-27-2001,1
12-28-2001,1
12-29-2000,1
12-29-2001,4
12-3-2001,3
12-30-2000,1
12-30-2001,4
12-31-2000,3
12-31-2001,1
12-4-2001,2
12-5-2001,3
12-6-2001,6
12-7-2001,2
12-8-2000,1
12-8-2001,7
12-9-2001,3
2-1-2001,2
2-10-2001,5
2-11-2001,6
2-12-2001,6
2-13-2001,2
2-14-2001,1
2-15-2001,6
2-16-2001,4
2-17-2001,5
2-18-2001,3
2-19-2001,3
2-2-2001,6
2-20-2001,4
2-21-2001,3
2-22-2001,1
2-23-2001,2
2-24-2001,5
2-25-2001,3
2-26-2001,5
2-27-2001,3
2-28-2001,2
2-3-2001,5
2-4-2001,3
2-5-2001,4
2-6-2001,3
2-7-2001,4
2-8-2001,6
2-9-2001,1
3-1-2001,1
3-1-2001,2
3-10-2001,4
3-11-2001,5
3-12-2001,4
3-13-2001,2
3-14-2001,4
3-15-2001,1
3-16-2001,4
3-17-2001,5
3-18-2001,5
3-19-2001,6
3-2-2001,7
3-20-2001,5
3-21-2001,2
3-22-2001,2
3-23-2001,8
3-24-2001,2
3-25-2001,3
3-26-2001,4
3-27-2001,3
3-28-2001,3
3-3-2001,2
3-30-2001,1
3-4-2001,9
3-5-2001,3
3-6-2001,5
3-7-2001,4
3-8-2001,8
3-9-2001,3
4-1-2001,2
4-10-2001,4
4-11-2001,4
4-12-2001,4
4-13-2001,3
4-14-2001,7
4-15-2001,2
4-16-2001,5
4-17-2001,6
4-18-2001,3
4-19-2001,5
4-2-2001,4
4-20-2001,3
4-21-2001,2
4-22-2001,3
4-23-2001,3
4-24-2001,2
4-25-2001,1
4-26-2001,4
4-27-2001,5
4-28-2001,8
4-29-2001,5
4-3-2001,3
4-30-2001,7
4-4-2001,4
4-5-2001,5
4-6-2001,2
4-7-2001,5
4-8-2001,4
4-9-2001,2
5-1-1999,1
5-1-2001,1
5-10-2001,3
5-11-2001,1
5-12-2001,4
5-13-2001,2
5-14-2001,5
5-15-2001,3
5-16-2001,4
5-17-2001,4
5-18-2001,2
5-19-2001,3
5-2-2001,5
5-20-2001,5
5-21-2001,4
5-22-2001,4
5-23-2001,6
5-24-2001,2
5-25-2001,4
5-26-2001,5
5-27-2001,1
5-28-2001,4
5-29-2001,2
5-3-2001,4
5-30-2001,2
5-31-2001,4
5-4-2001,4
5-5-2001,2
5-6-2001,4
5-7-2001,6
5-8-2001,2
5-9-2001,3
6-1-2001,1
6-1-2001,4
6-10-2001,3
6-11-2001,3
6-12-2001,3
6-13-2001,3
6-14-2001,3
6-15-2001,7
6-16-2001,2
6-17-2001,6
6-18-2001,5
6-19-2001,7
6-2-2001,6
6-20-2001,2
6-21-2001,4
6-22-2001,2
6-23-2001,1
6-24-2001,3
6-25-2001,2
6-26-2001,1
6-27-2001,1
6-28-2001,5
6-29-2001,5
6-3-2001,7
6-30-2001,5
6-31-2001,1
6-4-2001,4
6-5-2001,3
6-6-2001,2
6-7-2001,3
6-8-2001,3
6-9-2001,1
7-1-2001,4
7-10-2001,3
7-12-2001,3
7-13-2001,5
7-14-2001,7
7-15-2001,5
7-16-2001,2
7-17-2001,2
7-18-2001,5
7-19-2001,3
7-2-2001,4
7-20-2001,1
7-21-2001,3
7-22-2001,8
7-23-2001,2
7-24-2001,6
7-26-2001,1
7-27-2001,4
7-28-2001,2
7-29-2001,5
7-3-2001,2
7-30-2001,3
