DATE,HOMICIDIOS_MUJERES
1-1-1999,4
1-1-1999,5
1-1-2022,4
1-10-1999,3
1-11-1999,4
1-12-1999,7
1-13-1999,3
1-14-1999,3
1-15-1999,2
1-16-1999,1
1-17-1999,3
1-18-1999,6
1-19-1999,5
1-2-1999,5
1-20-1999,1
1-21-1999,5
1-22-1998,1
1-22-1999,6
1-23-1999,6
1-24-1999,2
1-25-1999,3
1-26-1999,2
1-27-1999,4
1-29-1999,1
1-3-1998,1
1-3-1999,4
1-30-1999,3
1-31-1999,2
1-4-1999,2
1-5-1999,7
1-6-1998,1
1-6-1999,7
1-7-1999,2
1-8-1999,6
1-9-1998,1
1-9-1999,1
10-1-1999,1
10-1-1999,2
10-10-1999,3
10-11-1999,2
10-12-1999,3
10-13-1999,5
10-14-1999,1
10-15-1999,2
10-16-1999,6
10-17-1999,1
10-18-1999,6
10-19-1998,1
10-19-1999,4
10-2-1999,3
10-20-1999,3
10-21-1999,4
10-22-1999,2
10-23-1999,2
10-24-1999,5
10-25-1999,2
10-26-1999,5
10-27-1999,3
10-28-1999,2
10-29-1999,4
10-3-1999,5
10-30-1999,4
10-31-1999,4
10-4-1999,3
10-5-1999,2
10-6-1999,3
10-7-1999,3
10-8-1999,6
10-9-1999,2
11-1-1999,5
11-10-1999,4
11-11-1999,5
11-12-1998,1
11-12-1999,3
11-13-1999,4
11-14-1999,1
11-15-1999,2
11-16-1999,4
11-17-1999,1
11-18-1999,1
11-19-1999,4
11-2-1999,4
11-20-1999,6
11-21-1999,6
11-22-1999,2
11-23-1999,3
11-24-1999,5
11-25-1999,2
11-26-1999,3
11-27-1999,3
11-28-1999,5
11-3-1999,6
11-30-1998,1
11-30-1999,1
11-4-1999,4
11-5-1999,4
11-6-1999,2
11-7-1999,3
11-8-1999,2
11-9-1999,6
12-1-1999,1
12-1-1999,4
12-10-1999,5
12-11-1999,3
12-12-1999,2
12-13-1999,4
12-14-1999,2
12-15-1999,6
12-16-1999,8
12-17-1999,7
12-18-1998,2
12-18-1999,7
12-19-1999,5
12-2-1998,1
12-2-1999,3
12-20-1999,5
12-21-1997,1
12-21-1999,3
12-22-1998,2
12-22-1999,1
12-23-1992,1
12-23-1998,1
12-23-1999,1
12-24-1999,4
12-25-1998,1
12-25-1999,9
12-26-1998,2
12-26-1999,2
12-27-1999,1
12-28-1998,1
12-28-1999,3
12-29-1998,1
12-29-1999,4
12-3-1999,4
12-30-1998,1
12-30-1999,2
12-31-1998,4
12-4-1999,3
12-5-1999,6
12-6-1999,2
12-7-1999,2
12-8-1999,5
12-9-1998,1
12-9-1999,4
2-1-1994,1
2-1-1999,2
2-10-1999,3
2-11-1999,5
2-12-1999,2
2-13-1999,4
2-14-1999,4
2-15-1999,7
2-16-1999,5
2-17-1999,4
2-19-1997,1
2-19-1999,6
2-2-1999,2
2-20-1999,1
2-21-1999,6
2-22-1999,3
2-23-1999,1
2-24-1999,3
2-25-1999,4
2-26-1999,6
2-27-1999,8
2-28-1999,5
2-3-1999,5
2-4-1999,3
2-5-1999,4
2-6-1999,3
2-7-1999,3
2-8-1999,6
2-9-1999,5
3-1-1999,5
3-11-1999,2
3-12-1999,7
3-13-1999,2
3-14-1999,3
3-15-1999,5
3-16-1999,3
3-17-1999,3
3-18-1999,5
3-19-1999,2
3-2-1999,1
3-20-1999,1
3-21-1999,2
3-22-1999,5
3-23-1999,7
3-24-1999,6
3-25-1999,4
3-26-1999,6
3-27-1999,3
3-28-1999,7
3-29-1999,2
3-3-1999,2
3-30-1999,2
3-31-1999,1
3-4-1999,6
3-5-1999,3
3-6-1999,4
3-7-1999,8
3-8-1999,1
3-9-1999,5
4-1-1999,1
4-1-1999,2
4-10-1999,2
4-11-1999,4
4-12-1999,3
4-13-1999,3
4-14-1999,4
4-15-1999,3
4-16-1999,4
4-17-1999,4
4-18-1999,7
4-19-1999,2
4-2-1999,5
4-20-1999,3
4-21-1999,5
4-22-1999,3
4-23-1999,4
4-24-1999,3
4-25-1999,7
4-26-1999,3
4-27-1999,4
4-29-1999,1
4-3-1999,4
4-30-1999,3
4-4-1999,4
4-5-1999,2
4-6-1999,5
4-7-1999,4
4-8-1999,9
5-1-1999,1
5-1-1999,3
5-10-1999,3
5-11-1986,1
5-11-1999,4
5-12-1999,3
5-13-1999,1
5-14-1999,5
5-15-1999,5
5-16-1999,3
5-17-1999,6
5-18-1999,1
5-19-1999,2
5-2-1999,2
5-20-1999,2
5-21-1999,2
5-22-1999,1
5-23-1999,3
5-24-1999,2
5-25-1999,1
5-26-1999,3
5-27-1999,6
5-28-1999,3
5-29-1999,6
5-3-1999,6
5-30-1999,4
5-31-1999,13
5-4-1999,5
5-5-1999,4
5-6-1999,3
5-7-1999,4
5-8-1999,1
5-9-1999,4
6-1-1999,6
6-10-1999,2
6-11-1999,2
6-12-1999,2
6-13-1999,3
6-14-1999,4
6-15-1999,4
6-16-1999,3
6-17-1999,5
6-18-1999,1
6-19-1999,7
6-2-1999,4
6-20-1999,6
6-21-1999,4
6-22-1999,4
6-23-1999,5
6-24-1999,2
6-25-1999,4
6-26-1999,1
6-27-1999,5
6-28-1999,6
6-29-1999,7
6-3-1999,1
6-30-1999,3
6-4-1999,1
6-5-1999,6
6-6-1999,4
6-7-1999,3
6-8-1999,5
6-9-1999,1
7-1-1999,1
7-1-1999,2
7-10-1999,4
7-11-1999,5
7-12-1999,7
7-13-1999,1
7-14-1999,4
7-15-1999,10
7-16-1999,3
7-17-1999,5
7-18-1999,12
7-19-1999,3
7-2-1999,4
7-20-1999,3
7-22-1999,7
7-23-1999,2
7-24-1999,2
7-25-1999,6
7-26-1999,7
7-27-1999,3
7-28-1999,6
7-29-1999,3
7-3-1999,3
7-30-1999,5
7-31-1999,2
7-4-1998,1
7-4-1999,6
7-5-1999,4
7-6-1999,4
7-7-1999,7
7-8-1999,6
7-9-1999,3
8-1-1999,1
8-1-1999,7
8-10-1999,6
8-11-1999,5
8-12-1999,5
8-13-1999,7
8-14-1999,6
8-15-1999,3
8-16-1999,3
8-19-1999,3
8-2-1999,4
8-20-1999,4
8-21-1999,3
8-22-1999,9
8-23-1999,5
8-24-1999,6
8-25-1999,3
8-26-1997,1
8-26-1999,1
8-27-1999,2
8-28-1999,5
8-29-1999,5
8-3-1999,5
8-30-1999,2
8-31-1999,3
8-4-1999,3
8-5-1999,4
8-6-1999,3
8-7-1999,2
8-8-1999,2
8-9-1999,8
9-1-1999,1
9-10-1999,5
9-11-1999,1
9-12-1999,3
9-13-1999,4
9-14-1999,6
9-15-1999,4
9-16-1999,5
9-17-1999,2
9-18-1999,2
9-19-1999,2
9-2-1999,3
9-20-1999,3
9-21-1999,1
9-22-1999,3
9-23-1999,4
9-25-1999,5
9-26-1999,5
9-27-1999,5
9-28-1999,7
9-29-1999,7
