DATE,HOMICIDIOS_MUJERES
1-1-2009,8
1-1-2022,5
1-10-2009,6
1-11-2009,6
1-12-2009,4
1-13-2009,6
1-14-2009,1
1-15-2009,2
1-16-2009,2
1-17-2008,1
1-17-2009,8
1-18-2009,5
1-19-2009,3
1-2-2009,6
1-20-2009,7
1-21-2009,5
1-23-2009,5
1-24-2009,3
1-25-2009,4
1-26-2009,6
1-28-2009,4
1-29-2009,3
1-3-2009,2
1-30-2009,3
1-4-2009,2
1-5-2009,7
1-6-2009,4
1-7-2009,9
1-8-2009,3
1-9-2009,9
10-1-2009,7
10-10-2009,6
10-11-2009,7
10-12-2009,12
10-13-2009,10
10-14-2009,3
10-15-2009,7
10-16-2009,3
10-17-2009,5
10-18-2009,7
10-19-2008,1
10-19-2009,3
10-2-2009,3
10-20-2009,7
10-21-2009,2
10-22-2009,5
10-23-2008,2
10-23-2009,4
10-24-2009,7
10-26-2009,8
10-27-2009,7
10-28-2009,8
10-29-2009,2
10-3-2009,2
10-30-2009,5
10-31-2009,2
10-4-2009,13
10-5-2009,2
10-6-2009,5
10-7-2009,1
10-8-2009,4
10-9-2009,4
11-1-2009,3
11-1-2009,2
11-10-2009,4
11-11-2009,1
11-12-2009,11
11-13-2009,5
11-14-2009,8
11-15-2009,7
11-16-2008,1
11-16-2009,1
11-17-2009,6
11-18-2009,4
11-19-2009,7
11-2-2009,9
11-20-2008,1
11-20-2009,7
11-21-2009,6
11-22-2009,8
11-23-2008,1
11-23-2009,4
11-24-2009,2
11-25-2009,5
11-26-2009,3
11-27-2009,6
11-28-2008,1
11-28-2009,6
11-29-2009,4
11-3-1981,1
11-3-2009,3
11-30-2008,1
11-30-2009,4
11-4-2009,3
11-5-2009,4
11-6-2009,4
11-7-2009,2
11-8-2009,4
11-9-2009,5
12-1-2008,1
12-1-2009,5
12-1-2009,2
12-10-2009,11
12-11-2008,1
12-11-2009,10
12-12-2008,1
12-12-2009,5
12-13-2009,8
12-14-2008,1
12-14-2009,7
12-15-2009,8
12-16-2008,1
12-16-2009,5
12-17-2008,3
12-17-2009,6
12-18-2009,10
12-19-2008,1
12-19-2009,7
12-2-2008,1
12-2-2009,4
12-20-2009,6
12-21-2008,2
12-21-2009,5
12-22-2008,1
12-22-2009,7
12-23-2009,4
12-24-2009,6
12-25-2008,1
12-25-2009,7
12-26-2008,1
12-26-2009,3
12-27-2008,1
12-27-2009,8
12-28-2008,4
12-28-2009,1
12-29-2008,2
12-29-2009,2
12-3-2009,4
12-30-2008,3
12-30-2009,4
12-31-2008,6
12-31-2009,1
12-4-2009,7
12-5-2009,7
12-6-2009,3
12-7-2009,6
12-8-2008,1
12-8-2009,5
12-9-2008,1
12-9-2009,14
2-1-2009,1
2-1-2009,6
2-10-2009,5
2-11-2009,2
2-12-2009,9
2-13-2009,7
2-14-2009,10
2-15-2009,4
2-16-2009,4
2-17-2009,2
2-18-2009,2
2-19-2009,8
2-2-2009,7
2-20-2009,4
2-21-2009,5
2-22-2009,10
2-23-2009,3
2-24-2009,2
2-25-2009,6
2-26-2009,4
2-27-2009,4
2-28-2009,3
2-3-2009,2
2-4-2007,1
2-4-2009,6
2-5-2009,4
2-6-2009,4
2-7-2005,1
2-7-2009,8
2-8-2009,4
2-9-2009,8
3-1-2009,3
3-10-2009,5
3-11-2003,1
3-11-2008,1
3-12-2009,3
3-13-2009,2
3-14-2009,2
3-15-2009,9
3-16-2009,2
3-17-2009,4
3-18-2008,1
3-18-2009,5
3-19-2009,5
3-2-2009,5
3-20-2009,3
3-21-1999,1
3-21-2009,5
3-22-2009,4
3-23-2009,7
3-24-2009,6
3-25-2009,3
3-26-2009,1
3-27-2009,6
3-28-2007,1
3-28-2009,6
3-29-2009,6
3-3-2008,1
3-3-2009,10
3-30-2009,7
3-31-2009,4
3-4-2009,2
3-5-2005,1
3-5-2009,6
3-6-2009,9
3-7-2009,5
3-8-2009,6
3-9-2009,3
4-1-2009,2
4-10-2009,5
4-11-2009,2
4-12-2009,5
4-13-2009,9
4-14-2009,1
4-15-2009,2
4-16-2009,7
4-17-2009,5
4-18-2009,5
4-19-2009,7
4-2-2009,12
4-20-2009,7
4-21-2009,3
4-22-2009,2
4-23-2009,4
4-24-2009,6
4-25-2009,2
4-26-2009,8
4-27-2009,4
4-28-2009,4
4-29-2009,7
4-3-2009,6
4-30-2009,10
