DATE,HOMICIDIOS_MUJERES
1-1-2008,1
1-1-2011,2
1-1-2012,13
1-1-2012,15
1-1-2012,1
1-1-2022,6
1-10-2012,4
1-11-2011,1
1-11-2012,9
1-12-2012,4
1-13-2012,9
1-14-2008,1
1-14-2010,1
1-14-2012,6
1-15-2012,6
1-16-2012,4
1-17-2012,3
1-18-2011,1
1-18-2012,7
1-19-2012,12
1-2-2012,6
1-20-2012,4
1-21-2012,7
1-22-2012,5
1-23-2012,6
1-24-2012,4
1-25-2012,8
1-26-2012,13
1-27-2012,7
1-28-2012,8
1-29-2012,3
1-3-2012,5
1-30-2012,8
1-31-2012,5
1-4-2012,5
1-5-2012,13
1-6-2012,6
1-7-2012,5
1-8-2012,5
1-9-2012,4
10-1-2010,1
10-1-2012,2
10-1-2012,4
10-10-2011,1
10-10-2012,9
10-11-2008,1
10-11-2012,4
10-12-2012,3
10-13-2012,5
10-14-2012,3
10-15-2012,1
10-16-2012,1
10-17-2011,1
10-17-2012,16
10-18-2012,8
10-19-2006,1
10-19-2012,6
10-2-2012,6
10-20-2012,7
10-21-2011,1
10-21-2012,6
10-22-2012,6
10-23-2012,6
10-24-2012,1
10-25-2012,8
10-26-2012,11
10-27-2012,8
10-28-2012,11
10-29-2011,1
10-29-2012,9
10-3-2012,7
10-30-2012,11
10-31-2011,1
10-31-2012,2
10-4-2012,11
10-5-2012,6
10-6-2012,7
10-7-2012,4
10-8-2012,9
10-9-2012,9
11-1-2012,4
11-1-2012,16
11-10-2011,2
11-10-2012,4
11-11-2006,1
11-11-2012,7
11-12-2012,5
11-13-2011,1
11-13-2012,8
11-14-2012,3
11-15-2012,5
11-16-2012,7
11-17-2012,3
11-18-2012,7
11-19-2012,2
11-2-2012,11
11-20-2011,1
11-20-2012,2
11-21-2011,2
11-21-2012,7
11-22-2011,1
11-22-2012,4
11-23-2011,1
11-23-2012,6
11-24-2011,1
11-24-2012,11
11-25-2011,1
11-25-2012,13
11-26-2011,2
11-26-2012,4
11-27-2012,9
11-28-2012,8
11-29-2011,1
11-29-2012,4
11-3-2011,1
11-3-2012,2
11-30-2012,4
11-4-2011,1
11-4-2012,3
11-5-2011,1
11-5-2012,11
11-6-2012,6
11-7-2012,8
11-8-2011,1
11-8-2012,4
11-9-2011,1
11-9-2012,5
12-1-2012,4
12-10-2011,1
12-10-2012,3
12-11-2011,2
12-11-2012,4
12-12-2011,3
12-12-2012,7
12-13-2011,4
12-13-2012,5
12-14-2011,1
12-14-2012,9
12-15-2011,1
12-15-2012,4
12-16-2011,1
12-16-2012,7
12-17-2011,1
12-17-2012,8
12-18-2011,2
12-18-2012,4
12-19-2011,1
12-19-2012,5
12-2-2012,11
12-20-2011,2
12-20-2012,6
12-21-2011,1
12-21-2012,6
12-22-2011,5
12-22-2012,6
12-23-2011,2
12-23-2012,3
12-24-2011,6
12-24-2012,6
12-25-2011,1
12-25-2012,4
12-26-2011,1
12-26-2012,4
12-27-2011,2
12-27-2012,3
12-28-2011,2
12-28-2012,4
12-29-2011,1
12-29-2012,8
12-3-2012,13
12-30-2011,5
12-30-2012,7
12-31-2011,5
12-31-2012,2
12-4-2009,1
12-4-2011,2
12-4-2012,6
12-5-2012,3
12-6-2012,9
12-7-2011,1
12-7-2012,5
12-8-2011,1
12-8-2012,6
12-9-2012,6
2-1-2012,1
2-1-2012,7
2-10-2012,7
2-11-2012,9
2-12-2012,8
2-13-2012,9
2-14-2012,6
2-15-2012,13
2-16-2012,7
2-17-2012,5
2-18-2012,8
2-19-2012,9
2-2-2012,3
2-20-2012,7
2-21-2011,1
2-21-2012,9
2-22-2012,6
2-23-2008,1
2-23-2012,8
2-24-2012,6
2-25-2012,5
2-26-2012,9
2-27-2012,8
2-28-2012,8
2-29-2012,12
2-3-2012,6
2-4-2010,1
2-4-2012,14
2-5-2012,10
2-6-2012,5
2-7-2012,5
2-8-2012,4
2-9-2012,4
3-1-2011,1
3-1-2012,5
3-10-2012,5
3-11-2012,10
3-12-2012,8
3-13-2011,1
3-13-2012,4
3-14-2012,6
3-15-2012,3
3-16-2012,4
3-17-2012,4
3-18-2012,5
3-19-2012,7
3-2-2000,1
3-2-2012,10
3-20-2012,6
3-21-2012,4
3-22-2012,5
3-23-2012,6
3-24-2011,1
3-24-2012,9
3-25-2012,13
3-26-2012,8
3-27-2012,11
3-28-2012,9
3-29-2012,7
3-3-2012,11
3-30-2012,5
3-31-2012,6
3-4-2012,3
3-5-2012,11
3-6-2012,9
3-7-2011,1
3-7-2012,2
3-8-2012,10
3-9-2012,5
4-1-2012,1
4-1-2012,4
4-10-2008,1
4-10-2012,4
4-11-2012,8
4-12-2012,8
4-13-2012,4
4-14-2012,6
4-15-2012,16
4-16-2012,14
4-17-2012,15
4-18-2012,8
4-19-2012,6
4-2-2012,6
4-20-2012,9
4-21-2012,9
4-22-2012,15
4-23-2012,5
4-24-2012,7
4-25-2012,6
4-26-2012,7
4-27-2012,4
4-28-2012,7
4-29-2012,9
4-3-2012,9
4-30-2012,10
4-4-2012,9
4-5-2012,10
4-6-2012,7
4-7-2012,7
4-8-2012,5
4-9-2012,5
5-1-2012,9
5-10-2012,6
5-11-2012,9
5-12-2012,4
5-13-2011,1
5-13-2012,11
5-14-2011,1
5-14-2012,3
5-15-2012,8
5-16-2012,7
5-17-2012,11
5-18-2012,6
5-19-2012,5
5-2-2012,3
5-20-2012,7
5-21-2012,8
5-22-2012,7
5-23-2012,17
