DATE,HOMICIDIOS_MUJERES
1-1-2010,3
1-1-2010,8
1-10-2010,4
1-11-2010,5
1-12-2010,5
1-13-2010,5
1-14-2010,3
1-15-2010,7
1-16-2010,3
1-17-2010,4
1-18-2010,4
1-19-2010,4
1-2-2010,6
1-20-2010,4
1-21-2010,1
1-22-2010,4
1-23-2010,5
1-24-2010,7
1-25-2010,5
1-26-2010,1
1-27-2010,1
1-28-2010,5
1-29-2010,7
1-3-2010,4
1-30-2010,4
1-31-2008,1
1-31-2010,11
1-4-2010,10
1-5-2010,13
1-6-2010,5
1-7-2010,7
1-8-2010,6
1-9-2010,11
10-1-2010,1
10-1-2010,12
10-10-2009,1
10-10-2010,6
10-11-2010,15
10-12-2010,11
10-13-2009,1
10-13-2010,8
10-14-2010,6
10-15-2009,1
10-15-2010,7
10-16-2010,8
10-17-2010,12
10-18-2010,5
10-19-2010,5
10-2-2010,10
10-20-2010,9
10-21-2010,5
10-22-2010,20
10-23-2010,7
10-24-2010,7
10-25-2010,4
10-26-2009,2
10-26-2010,4
10-27-2010,8
10-28-2010,9
10-29-2010,9
10-3-2010,8
10-30-2009,2
10-30-2010,8
10-31-2010,9
10-4-2010,3
10-5-2010,7
10-6-2010,8
10-7-2010,6
10-8-2010,3
10-9-2010,8
11-1-2009,1
11-1-2010,5
11-10-2010,2
11-11-2010,3
11-12-2010,5
11-13-2009,1
11-13-2010,4
11-14-2010,8
11-15-2010,9
11-16-2009,1
11-16-2010,7
11-17-2010,5
11-18-2010,14
11-19-2010,5
11-2-2010,9
11-20-2009,1
11-20-2010,6
11-21-2010,9
11-22-2009,1
11-22-2010,7
11-23-2009,1
11-23-2010,6
11-24-2010,12
11-25-2010,6
11-26-2010,3
11-27-2009,1
11-27-2010,1
11-28-2009,1
11-28-2010,8
11-29-2010,9
11-3-2010,4
11-30-2010,10
11-4-2010,6
11-5-2010,5
11-6-2010,3
11-7-2010,3
11-8-2010,5
11-9-2010,9
12-1-2010,2
12-1-2010,5
12-10-2009,3
12-10-2010,8
12-11-2009,1
12-11-2010,5
12-12-2010,3
12-13-2010,2
12-14-2009,2
12-14-2010,3
12-15-2009,2
12-15-2010,14
12-16-2010,8
12-17-2009,1
12-17-2010,8
12-18-2004,1
12-18-2010,1
12-19-2010,4
12-2-2010,15
12-20-2009,1
12-20-2010,2
12-21-2009,3
12-21-2010,2
12-22-2009,4
12-22-2010,3
12-23-2009,1
12-23-2010,5
12-24-2007,1
12-24-2009,4
12-24-2010,2
12-25-2009,5
12-25-2010,4
12-26-2010,7
12-27-2010,2
12-28-2009,1
12-28-2010,2
12-29-2009,5
12-29-2010,10
12-3-2010,4
12-30-2009,5
12-30-2010,2
12-31-2009,7
12-31-2010,3
12-4-2009,2
12-4-2010,5
12-5-2010,5
12-6-2009,1
12-6-2010,10
12-7-2010,5
12-8-2010,10
12-9-2009,1
12-9-2010,5
2-1-2010,6
2-10-2010,1
2-11-2010,2
2-12-2010,1
2-13-2010,5
2-14-2010,7
2-15-2010,8
2-16-2010,4
2-17-2010,8
2-18-2010,2
2-19-2010,7
2-2-2010,2
2-20-2010,8
2-21-2010,6
2-22-2010,4
2-23-2010,2
2-24-2010,8
2-25-2010,7
2-26-2010,12
2-27-2010,5
2-28-2010,11
2-3-2010,4
2-4-2010,1
2-5-2010,9
2-6-2010,6
2-7-2010,7
2-8-2010,5
2-9-2010,3
3-1-2010,5
3-10-2010,2
3-11-2010,3
3-12-2010,4
3-13-2010,9
3-14-2010,16
3-15-2010,3
3-16-2010,4
3-17-2010,8
3-18-2010,4
3-19-2010,2
3-2-2010,2
3-20-2010,3
3-21-2010,9
3-22-2010,4
3-23-2010,4
3-24-2010,7
3-25-2010,6
3-26-2010,1
3-27-2010,5
3-28-2010,12
3-29-2010,8
3-3-2010,4
3-30-2010,3
3-31-2010,4
3-4-2010,4
3-5-2010,4
3-6-2010,2
3-7-2010,6
3-8-2010,5
3-9-2010,7
4-1-2010,1
4-1-2010,1
4-10-2010,3
4-11-2010,11
4-12-2010,9
4-13-2010,8
4-14-2010,8
4-15-2008,1
4-15-2010,11
4-16-2010,11
4-17-2010,4
4-18-2010,7
4-19-2010,6
4-2-2010,7
4-20-2010,4
4-21-2010,6
4-22-2010,1
4-23-2010,9
4-24-2010,11
4-25-2010,7
4-26-2010,5
4-27-2010,10
4-28-2010,1
4-29-2010,2
4-3-2010,8
4-30-2010,9
4-4-2010,4
4-5-2010,6
4-6-2010,10
4-7-2010,8
4-8-2010,9
4-9-2010,3
5-1-2010,4
5-10-2010,5
5-11-2010,6
5-12-2010,6
5-13-2010,8
5-14-2010,4
5-15-2009,1
5-15-2010,7
5-16-2010,5
5-17-2010,4
5-18-2010,9
5-19-2009,1
5-19-2010,5
5-2-2010,5
5-20-2010,6
5-21-2010,7
5-22-2008,1
5-22-2010,6
5-23-2010,7
5-24-2010,5
5-25-2010,8
5-26-2010,4
5-27-2010,6
5-28-2010,4
5-29-2010,7
5-3-2010,9
5-30-2010,8
5-31-2010,8
5-4-2010,5
5-5-2010,4
5-6-2010,8
5-7-2010,5
5-8-2010,3
5-9-2010,3
6-1-2010,9
6-10-2010,6
6-11-2010,9
6-12-2010,5
6-13-2010,13
6-14-2010,3
6-15-2009,1
6-15-2010,8
6-16-2010,8
6-17-2010,3
6-18-2010,8
6-19-2010,2
6-2-2010,6
6-20-2010,11
6-21-2010,4
6-22-2010,3
6-23-2010,11
6-24-2010,1
6-25-2010,10
6-26-2010,8
6-27-2010,12
6-28-2010,6
6-29-2010,7
6-3-2010,7
6-30-2010,9
6-4-2010,5
6-5-2010,5
6-6-2010,6
6-7-2010,6
6-8-2010,7
6-9-2010,3
7-1-2010,3
7-10-2010,9
7-11-2010,7
7-12-2010,9
7-13-2010,9
7-14-2010,7
7-15-2010,8
7-16-2010,9
7-17-2010,7
7-18-2010,18
7-19-2010,7
7-2-2010,7
7-20-2010,6
7-21-2010,8
7-22-2010,4
7-23-2010,5
7-24-2010,11
7-25-2010,5
7-26-2010,6
7-27-2010,6
7-28-2010,3
7-29-2010,10
7-3-2010,6
7-30-2010,11
7-31-2010,4
7-4-2010,9
7-5-2010,5
7-6-2010,6
7-7-2010,6
7-8-2010,8
7-9-2009,1
7-9-2010,3
8-1-2010,8
8-1-2010,1
8-10-2010,5
8-11-2010,9
8-12-2010,5
8-13-2010,8
8-14-2010,3
8-15-2009,1
8-15-2010,10
