DATE,HOMICIDIOS_MUJERES
1-1-2009,1
1-1-2011,1
1-1-2011,7
1-1-2011,6
1-1-2022,5
1-10-2010,1
1-10-2011,6
1-11-2011,10
1-12-2011,15
1-13-2011,1
1-13-2011,5
1-14-2011,5
1-15-2011,5
1-16-2011,8
1-17-2011,7
1-18-2011,8
1-19-2011,7
1-2-2011,6
1-20-2011,3
1-21-2011,6
1-22-2011,7
1-23-2011,11
1-24-2011,6
1-25-2011,9
1-26-2011,7
1-27-2011,8
1-28-2011,4
1-29-2011,3
1-3-2011,7
1-30-2011,13
1-31-2010,1
1-31-2011,4
1-4-2011,5
1-5-2011,8
1-6-2011,8
1-7-2011,6
1-8-2011,6
1-9-2011,8
10-1-2011,8
10-1-2011,1
10-10-2011,7
10-11-2011,4
10-12-2011,10
10-13-2011,9
10-14-2011,7
10-15-2011,5
10-16-2011,4
10-17-2011,7
10-18-2011,5
10-19-2010,1
10-19-2011,6
10-2-2010,1
10-2-2011,17
10-20-2010,1
10-20-2011,5
10-21-2011,5
10-22-2001,1
10-22-2011,6
10-23-2010,1
10-23-2011,6
10-24-2010,2
10-24-2011,8
10-25-2011,7
10-26-2011,4
10-27-2011,7
10-28-2011,7
10-29-2011,6
10-3-2011,9
10-30-2011,8
10-31-2010,1
10-31-2011,7
10-4-2011,14
10-5-2011,9
10-6-2010,1
10-6-2011,7
10-7-2011,6
10-8-2011,11
10-9-2010,1
10-9-2011,5
11-1-2011,1
11-1-2011,6
11-10-2011,10
11-11-2010,2
11-11-2011,9
11-12-2011,2
11-13-2006,1
11-13-2011,11
11-14-2011,5
11-15-2011,4
11-16-2011,5
11-17-2007,1
11-17-2010,2
11-17-2011,2
11-18-2011,2
11-19-2011,11
11-2-2011,14
11-20-2011,6
11-21-2010,1
11-21-2011,13
11-22-2011,6
11-23-2011,7
11-24-2010,1
11-24-2011,6
11-25-2010,2
11-25-2011,1
11-26-2011,5
11-27-2010,1
11-27-2011,8
11-28-2011,5
11-29-2010,1
11-29-2011,7
11-3-2010,2
11-3-2011,13
11-30-2010,1
11-30-2011,4
11-4-2011,4
11-5-2011,4
11-6-2011,9
11-7-2011,4
11-8-2011,7
11-9-2011,9
12-1-2011,8
12-10-2011,5
12-11-2010,3
12-11-2011,10
12-12-2011,7
12-13-2010,2
