DATE,HOMICIDIOS_MUJERES
1-1-2017,1
1-1-2019,10
1-1-2019,13
1-1-2022,9
1-10-2019,17
1-11-2019,13
1-12-2019,13
1-13-2017,1
1-13-2019,11
1-14-2019,8
1-15-2019,12
1-16-2011,1
1-16-2019,10
1-17-2019,13
1-18-2019,13
1-19-2019,13
1-2-2019,8
1-20-2019,4
1-21-2019,9
1-22-2019,9
1-23-2019,7
1-24-2019,9
1-25-2019,13
1-26-2019,11
1-27-2019,9
1-28-2019,11
1-29-2019,7
1-3-2019,8
1-30-2019,8
1-31-2019,5
1-4-2019,9
1-5-2019,8
1-6-2019,6
1-7-2019,9
1-8-2019,14
1-9-2019,4
10-1-2016,1
10-1-2018,1
10-1-2019,1
10-1-2019,9
10-10-2019,13
10-11-2018,1
10-11-2019,7
10-12-2018,1
10-12-2019,5
10-13-2019,8
10-14-2019,14
10-15-2018,1
10-15-2019,18
10-16-2019,14
10-17-2019,11
10-18-2019,9
10-19-2018,1
10-19-2019,13
10-2-2019,10
10-20-2019,10
10-21-2019,9
10-22-2019,6
10-23-2018,1
10-23-2019,8
10-24-2019,8
10-25-2019,9
10-26-2019,10
10-27-2019,8
10-28-2019,12
10-29-2019,6
10-3-2018,1
10-3-2019,9
10-30-2018,1
10-30-2019,11
10-31-2019,9
10-4-2018,1
10-4-2019,13
10-5-2018,4
10-5-2019,11
10-6-2019,14
10-7-2019,6
10-8-2018,1
10-8-2019,10
10-9-2019,5
11-1-2018,1
11-1-2019,3
11-1-2019,9
11-10-2019,14
11-11-2019,10
11-12-2019,8
11-13-2019,12
11-14-2019,14
11-15-2019,8
11-16-2019,5
11-17-2017,1
11-17-2019,11
11-18-2019,8
11-19-2018,1
11-19-2019,12
11-2-2018,2
11-2-2019,10
11-20-2019,18
11-21-2019,14
11-22-2018,2
11-22-2019,8
11-23-2019,13
11-24-2019,14
11-25-2019,15
11-26-2019,8
11-27-2019,5
11-28-2018,1
11-28-2019,7
11-29-2019,8
11-3-2019,10
11-30-2017,1
11-30-2019,10
11-4-2017,1
11-4-2019,17
11-5-2019,13
11-6-2018,1
11-6-2019,6
11-7-2018,1
11-7-2019,9
11-8-2018,1
11-8-2019,12
11-9-2018,1
11-9-2019,5
12-1-2019,2
12-1-2019,9
12-10-2018,2
12-10-2019,15
12-11-2018,1
12-11-2019,12
12-12-2018,1
12-12-2019,10
12-13-2018,1
12-13-2019,8
12-14-2018,1
12-14-2019,19
12-15-2018,4
12-15-2019,7
12-16-2018,1
12-16-2019,15
12-17-2019,10
12-18-2018,3
12-18-2019,8
12-19-2018,3
12-19-2019,13
12-2-2018,1
12-2-2019,13
12-20-2018,3
12-20-2019,6
12-21-2011,1
12-21-2018,2
12-21-2019,11
12-22-2018,3
12-22-2019,6
12-23-2018,2
12-23-2019,14
12-24-2018,1
12-24-2019,5
12-25-2018,4
12-25-2019,7
12-26-2018,1
12-26-2019,7
12-27-2018,1
12-27-2019,7
12-28-2016,2
12-28-2018,2
12-28-2019,10
12-29-2017,1
12-29-2018,4
12-29-2019,6
12-3-2018,3
12-3-2019,17
12-30-2018,3
12-30-2019,16
12-31-2018,11
12-31-2019,5
12-4-2017,1
12-4-2019,19
12-5-2018,1
12-5-2019,11
12-6-2019,13
12-7-2019,7
12-8-2019,4
12-9-2018,2
12-9-2019,11
2-1-2018,1
2-1-2019,14
2-10-2019,5
2-11-2019,10
2-12-2019,10
2-13-2016,1
2-13-2019,11
2-14-2019,8
2-15-2019,4
2-16-2019,9
2-17-2019,10
2-18-2019,14
2-19-2019,6
2-2-2019,11
2-20-2019,8
2-21-2019,14
2-22-2019,11
2-23-2019,10
2-24-2019,17
2-25-2019,5
2-26-2019,11
2-27-2019,6
2-28-2019,12
2-29-2016,1
2-3-2019,9
2-4-2019,9
2-5-2019,8
2-6-2019,11
2-7-2019,14
2-8-2019,8
2-9-2019,10
3-1-2018,1
3-1-2019,1
3-1-2019,6
3-10-2019,9
3-11-2019,5
3-12-2019,9
3-13-2019,10
3-14-2019,7
3-15-2019,7
3-16-2019,12
3-17-2019,8
3-18-2019,9
3-19-2019,12
3-2-2019,8
3-20-2019,10
3-21-2019,11
3-22-2019,13
3-23-2019,9
3-24-2019,10
3-25-2019,9
3-26-2019,11
3-27-2019,12
3-28-2019,10
3-29-2019,12
3-3-2018,1
3-3-2019,7
3-30-2019,11
3-31-2019,13
3-4-2019,9
3-5-2019,9
3-6-2018,1
3-6-2019,4
3-7-2019,8
3-8-2019,14
3-9-2019,10
4-1-2019,11
4-10-2019,10
4-11-2019,13
4-12-2019,6
4-13-2019,12
4-14-2019,16
4-15-2019,12
4-16-2019,4
4-17-2019,11
4-18-2019,7
4-19-2019,8
