DATE,HOMICIDIOS_MUJERES
1-1-2019,2
1-1-2020,4
1-1-2021,3
1-1-2021,12
1-1-2021,15
1-1-2022,14
1-10-2021,9
1-11-2019,1
1-11-2020,1
1-11-2021,9
1-12-2021,11
1-13-2021,7
1-14-2021,9
1-15-2021,8
1-16-2021,11
1-17-2021,11
1-18-2021,9
1-19-2021,5
1-2-2021,5
1-20-2020,1
1-20-2021,8
1-21-2021,14
1-22-2021,16
1-23-2021,15
1-24-2021,8
1-25-2021,12
1-26-2021,10
1-27-2021,10
1-28-2021,15
1-29-2020,1
1-29-2021,6
1-3-2021,9
1-30-2021,11
1-31-2019,1
1-31-2021,8
1-4-2021,6
1-5-2021,6
1-6-2021,7
1-7-2020,2
1-7-2021,6
1-8-2021,11
1-9-2021,11
10-1-2018,1
10-1-2019,1
10-1-2020,1
10-1-2021,17
10-10-2020,1
10-10-2021,7
10-11-2020,1
10-11-2021,10
10-12-2021,8
10-13-2021,15
10-14-2019,1
10-14-2021,8
10-15-2020,1
10-15-2021,11
10-16-2021,12
10-17-2021,19
10-18-2021,8
10-19-2021,7
10-2-2011,1
10-2-2021,10
10-20-2019,1
10-20-2020,2
10-20-2021,13
10-21-2020,2
10-21-2021,13
10-22-2011,1
10-22-2021,9
10-23-2019,2
10-23-2020,1
10-23-2021,11
10-24-2018,1
10-24-2020,1
10-24-2021,12
10-25-2021,6
10-26-2021,4
10-27-2021,11
10-28-2018,1
10-28-2021,8
10-29-2020,1
10-29-2021,15
10-3-2021,13
10-30-2019,1
10-30-2020,1
10-30-2021,13
10-31-2020,1
10-31-2021,20
10-4-2020,1
10-4-2021,10
10-5-2021,11
10-6-2020,1
10-6-2021,13
10-7-2021,10
10-8-2020,1
10-8-2021,8
10-9-2019,1
10-9-2021,7
11-1-2021,9
11-1-2021,2
11-10-2018,1
11-10-2021,12
11-11-2020,1
11-11-2021,11
11-12-2021,10
11-13-2020,2
11-13-2021,16
11-14-2021,10
11-15-2016,1
11-15-2021,5
11-16-2021,5
11-17-2021,9
11-18-2021,5
11-19-2020,3
11-19-2021,7
11-2-2021,6
11-20-2020,2
11-20-2021,8
11-21-2021,12
11-22-2021,10
11-23-2021,7
11-24-2021,15
11-25-2021,6
11-26-2021,14
11-27-2021,11
11-28-2021,8
11-29-2021,6
11-3-2021,15
11-30-2020,1
11-30-2021,10
11-4-2019,1
11-4-2021,8
11-5-2020,1
11-5-2021,11
11-6-2019,1
11-6-2020,1
11-6-2021,7
11-7-2021,7
11-8-2019,1
11-8-2021,6
11-9-2020,1
11-9-2021,9
12-1-2020,1
12-1-2020,1
12-1-2021,11
12-10-2020,4
12-10-2021,8
12-11-2021,11
12-12-2020,1
12-12-2021,6
12-13-2021,8
12-14-2021,12
12-15-2019,1
12-15-2021,6
12-16-2020,1
12-16-2021,15
12-17-2019,1
12-17-2020,1
12-17-2021,11
12-18-2021,11
12-19-2020,1
12-19-2021,11
12-2-2020,1
12-2-2021,10
12-20-2019,1
12-20-2020,2
12-20-2021,6
12-21-2019,1
12-21-2021,6
12-22-2020,1
12-22-2021,12
12-23-2020,3
12-23-2021,7
12-24-2021,8
12-25-2018,1
12-25-2021,9
12-26-2021,4
12-27-2020,2
12-27-2021,10
12-28-2020,3
12-28-2021,11
12-29-2020,5
12-29-2021,9
12-3-2021,5
12-30-2020,1
12-30-2021,9
12-31-2020,1
12-31-2021,12
12-4-2017,1
12-4-2021,9
12-5-2021,10
12-6-2020,1
12-6-2021,5
12-7-2021,6
