DATE,HOMICIDIOS_MUJERES
1-1-2016,1
1-1-2017,5
1-1-2017,17
1-1-2017,1
1-1-2022,3
1-10-2017,8
1-11-2017,3
1-12-2017,7
1-13-2017,4
1-14-2017,10
1-15-2017,11
1-16-2017,11
1-17-2017,9
1-18-2017,11
1-19-2017,4
1-2-2017,8
1-20-2017,5
1-21-2017,9
1-22-2017,8
1-23-2017,6
1-24-2017,6
1-25-2017,12
1-26-2017,7
1-27-2017,8
1-28-2017,9
1-29-2017,6
1-3-2017,6
1-30-2017,6
1-31-2017,10
1-4-2017,8
1-5-2017,9
1-6-2017,7
1-7-2017,12
1-8-2017,8
1-9-2017,5
10-1-2017,2
10-1-2017,9
10-10-2017,8
10-11-2017,10
10-12-2017,7
10-13-2017,11
10-14-2017,13
10-15-2017,11
10-16-2017,12
10-17-2017,3
10-18-2014,1
10-18-2017,3
10-19-2016,1
10-19-2017,6
10-2-2017,12
10-20-2017,11
10-21-2017,10
10-22-2016,1
10-22-2017,8
10-23-2016,1
10-23-2017,9
10-24-2017,9
10-25-2017,6
10-26-2016,1
10-26-2017,10
10-27-2017,15
10-28-2017,7
10-29-2017,4
10-3-2016,1
10-3-2017,6
10-30-2017,12
10-31-2017,12
10-4-2017,12
10-5-2016,1
10-5-2017,8
10-6-2017,3
10-7-2017,5
10-8-2017,6
10-9-2016,2
10-9-2017,8
11-1-2017,17
11-10-2017,9
11-11-2017,9
11-12-2017,11
11-13-2017,8
11-14-2017,4
11-15-2017,9
11-16-2017,12
11-17-2016,1
11-17-2017,14
11-18-2017,8
11-19-2017,13
11-2-2017,10
11-20-2017,10
11-21-2017,11
11-22-2017,6
11-23-2017,7
11-24-2016,1
11-24-2017,13
11-25-2017,9
11-26-2017,8
11-27-2016,1
11-27-2017,12
11-28-2017,10
11-29-2017,6
11-3-2017,7
11-30-2017,12
11-4-2016,1
11-4-2017,7
11-5-2017,11
11-6-2017,12
11-7-2017,14
11-8-2016,2
11-8-2017,11
11-9-2017,8
12-1-2017,2
12-1-2017,11
12-10-2016,1
12-10-2017,11
12-11-2015,1
12-11-2017,8
12-12-2017,5
12-13-2017,6
12-14-2017,13
12-15-2008,1
12-15-2017,9
12-16-2017,9
12-17-2017,1
12-18-2016,1
12-18-2017,5
12-19-2017,10
12-2-2017,8
12-20-2016,1
12-20-2017,11
12-21-2016,3
12-21-2017,10
12-22-2017,12
12-23-2016,2
12-23-2017,6
12-24-2016,1
12-24-2017,9
12-25-2016,1
12-25-2017,10
12-26-2017,4
12-27-2017,7
12-28-2017,3
12-29-2017,9
12-3-2017,8
12-30-2016,1
12-30-2017,8
12-31-2016,1
12-31-2017,9
12-4-2017,11
12-5-2016,2
12-5-2017,9
12-6-2017,10
12-7-2016,3
12-7-2017,9
12-8-2017,4
12-9-2017,11
2-1-2017,3
2-1-2017,8
2-10-2017,14
2-11-2017,10
2-12-2017,13
2-13-2017,9
2-14-2017,8
2-15-2017,9
2-16-2017,13
2-17-2017,4
2-18-2017,9
2-19-2017,8
2-2-2017,11
2-20-2016,1
2-20-2017,10
2-21-2017,10
2-22-2017,9
2-23-2017,7
2-24-2017,12
2-25-2017,10
2-26-2017,9
2-27-2017,13
2-28-2017,10
2-3-2017,8
2-4-2017,10
2-5-2017,5
2-6-2017,7
2-7-2017,10
2-8-2017,4
2-9-2017,10
3-1-2017,3
3-1-2017,8
3-10-2015,1
3-10-2017,10
3-11-2014,1
3-11-2017,13
3-12-2017,14
3-13-2017,12
3-14-2017,7
3-15-2017,9
3-16-2017,2
3-17-2017,8
3-18-2011,2
3-18-2012,2
3-18-2017,8
3-19-2015,1
3-19-2017,6
3-2-2017,10
3-20-2017,12
3-21-2017,15
3-22-2017,6
3-23-2017,6
3-24-2016,2
3-24-2017,4
3-25-2017,9
3-26-2017,6
3-27-2016,1
3-27-2017,10
3-28-2017,8
3-29-2017,5
3-3-2017,4
3-30-2017,12
3-31-2017,3
3-4-2017,8
3-5-2017,9
3-6-2017,10
3-7-2017,9
3-8-2016,1
3-8-2017,5
3-9-2013,1
3-9-2017,9
4-1-2017,1
4-1-2017,7
4-10-2017,4
4-11-2017,8
4-12-2017,13
4-13-2017,11
4-14-2017,10
4-15-2017,4
4-16-2017,7
4-17-2017,12
4-18-2017,2
4-19-2017,8
4-2-2017,14
4-20-2017,11
4-21-2017,8
4-22-2017,8
4-23-2017,8
4-24-2017,13
4-25-2016,2
4-25-2017,4
4-26-2017,9
4-27-2017,9
4-28-2017,12
4-29-2017,10
4-3-2017,11
4-30-2017,13
4-4-2017,10
4-5-2017,9
4-6-2017,8
4-7-2017,12
4-8-2017,7
4-9-2017,11
5-1-2017,4
5-1-2017,10
5-10-2017,9
5-11-2017,15
5-12-2017,7
5-13-2017,12
5-14-2014,1
5-14-2017,6
5-15-2017,4
5-16-2016,1
5-16-2017,7
5-17-2017,9
5-18-2017,7
5-19-2017,5
5-2-2017,7
5-20-2017,6
5-21-2017,11
5-22-2017,15
5-23-2017,8
5-24-2017,7
5-25-2017,6
5-26-2017,8
5-27-2017,16
5-28-2017,7
5-29-2012,1
5-29-2017,10
5-3-2017,8
5-30-2017,12
5-31-2017,5
5-4-2017,6
5-5-2017,10
5-6-2017,6
5-7-2017,9
5-8-2017,6
5-9-2017,3
6-1-2017,2
6-1-2017,9
6-10-2017,19
6-11-2017,9
6-12-2017,13
6-13-2017,4
6-14-2017,8
6-15-2012,1
6-15-2016,1
6-15-2017,11
6-16-2017,12
6-17-2017,9
6-18-2017,5
6-19-2015,1
6-19-2017,12
6-2-2017,19
6-20-2017,18
6-21-2017,3
6-22-2017,13
6-23-2017,10
6-24-2017,16
6-25-2017,20
6-26-2017,6
6-27-2017,8
6-28-2016,1
6-28-2017,7
6-29-2017,9
6-3-2017,14
6-30-2013,1
6-30-2017,15
6-4-2017,11
6-5-2017,14
6-6-2017,13
6-7-2017,12
6-8-2017,7
6-9-2017,10
7-1-2017,11
7-1-2017,3
7-10-2017,12
7-11-2017,2
7-12-2017,8
7-13-2017,18
7-14-2017,4
7-15-2017,12
7-16-2017,12
7-17-2017,6
7-18-2017,8
7-19-2017,13
7-2-2017,14
7-20-2017,15
7-21-2017,8
7-22-2017,6
7-23-2016,1
7-23-2017,14
7-24-2017,11
7-25-2016,1
7-25-2017,3
7-26-2017,6
7-27-2017,12
7-28-2017,10
7-29-2017,6
7-3-2017,6
7-30-2017,10
7-31-2017,12
7-4-2017,9
7-5-2017,13
7-6-2017,3
7-7-2017,10
7-8-2017,9
7-9-2017,13
8-1-2016,1
8-1-2017,12
8-10-2016,1
8-10-2017,5
8-11-2017,2
8-12-2017,4
8-13-2012,1
8-13-2017,12
8-14-2017,10
8-15-2017,7
8-16-2017,8
8-17-2017,7
8-18-2017,9
8-19-2017,7
8-2-2017,8
8-20-2017,15
8-21-2017,15
8-22-2017,7
8-23-2017,9
8-24-2017,2
8-25-2017,11
8-26-2017,13
8-27-2017,11
8-28-2017,15
8-29-2017,9
8-3-2017,8
8-30-2017,9
8-31-2017,8
8-4-2017,13
8-5-2017,11
8-6-2017,17
8-7-2017,12
8-8-2017,13
8-9-2017,11
9-1-2014,1
9-1-2017,6
9-10-2017,9
9-11-2017,11
9-12-2017,9
9-13-2013,1
9-13-2017,14
9-14-2017,11
9-15-2017,4
9-16-2017,13
9-17-2017,13
9-18-2017,9
9-19-2017,13
9-2-2016,1
9-2-2017,11
9-20-2017,8
9-21-2016,1
9-21-2017,9
9-22-2017,7
9-23-2017,7
9-24-2017,6
9-25-2016,1
9-25-2017,14
9-26-2017,7
9-27-2017,9
9-28-2017,9
9-29-2016,1
9-29-2017,6
9-3-2017,8
9-30-2017,7
9-4-2016,1
9-4-2017,10
9-5-2017,12
9-6-2017,7
9-7-2017,15
9-8-2017,9
9-9-2017,9
