DATE,HOMICIDIOS_MUJERES
1-1-2010,1
1-1-2011,1
1-1-2012,1
1-1-2015,9
1-1-2015,5
1-1-2022,3
1-10-2015,7
1-11-2015,6
1-12-2015,4
1-13-2015,5
1-14-2015,3
1-15-2015,6
1-16-2015,6
1-17-2015,3
1-18-2015,6
1-19-2015,9
1-2-2015,5
1-20-2015,5
1-21-2015,5
1-22-2015,6
1-23-2015,3
1-24-2015,8
1-25-2015,11
1-26-2015,6
1-27-2015,3
1-28-2015,6
1-29-2015,6
1-3-2015,7
1-30-1996,1
1-30-2015,6
1-31-2015,4
1-4-2015,5
1-5-2015,10
1-6-2014,1
1-6-2015,7
1-7-2015,3
1-8-2015,5
1-9-2015,8
10-1-2015,1
10-1-2015,7
10-10-2015,7
10-11-2012,1
10-11-2015,13
10-12-2015,4
10-13-2015,4
10-14-2014,1
10-14-2015,8
10-15-2015,7
10-16-2015,10
10-17-2014,1
10-17-2015,5
10-18-2015,5
10-19-2015,4
10-2-2015,4
10-20-2015,4
10-21-2015,5
10-22-2012,1
10-22-2015,7
10-23-2015,11
10-24-2015,5
10-25-2014,1
10-25-2015,8
10-26-2015,7
10-27-2015,4
10-28-2014,1
10-28-2015,4
10-29-2014,1
10-29-2015,7
10-3-2015,17
10-30-2014,1
10-30-2015,5
10-31-2015,5
10-4-2014,1
10-4-2015,6
10-5-2008,1
10-5-2014,1
10-5-2015,16
10-6-2015,6
10-7-2015,6
10-8-2015,4
10-9-2014,1
10-9-2015,10
11-1-2014,1
11-1-2015,2
11-1-2015,5
11-10-2015,6
11-11-2013,1
11-11-2015,2
11-12-2015,3
11-13-2015,3
11-14-2013,1
11-14-2015,9
11-15-2015,6
11-16-2015,7
11-17-2014,1
11-17-2015,5
11-18-2015,4
11-19-2015,7
11-2-2015,8
11-20-2015,7
11-21-2015,6
11-22-2013,1
11-22-2015,4
11-23-2015,2
11-24-2014,1
11-24-2015,12
11-25-2015,3
11-26-2015,7
11-27-2013,2
11-27-2014,3
11-27-2015,7
11-28-2015,7
11-29-2015,8
11-3-2015,3
11-30-2015,7
11-4-2015,7
11-5-2015,7
11-6-2015,7
11-7-2012,1
11-7-2015,4
11-8-2015,5
11-9-2014,1
11-9-2015,7
12-1-2014,1
12-1-2015,2
12-1-2015,4
12-10-2015,3
12-11-2015,11
12-12-2015,10
12-13-2015,4
12-14-2015,11
12-15-2015,7
12-16-2014,2
12-16-2015,6
12-17-2014,2
12-17-2015,4
12-18-2014,1
12-18-2015,4
12-19-2015,8
12-2-2014,1
12-2-2015,7
12-20-2015,2
12-21-2008,1
12-21-2015,5
12-22-2014,2
12-22-2015,5
12-23-2014,1
12-23-2015,1
12-24-2014,1
12-24-2015,6
12-25-2014,2
12-25-2015,11
12-26-2014,5
12-26-2015,4
12-27-2014,2
12-27-2015,12
12-28-2015,5
12-29-2014,2
12-29-2015,5
12-3-2015,7
12-30-2014,3
12-30-2015,2
12-31-2014,3
12-31-2015,1
12-4-2015,6
12-5-2015,12
12-6-2015,6
12-7-2014,1
12-7-2015,6
12-8-2014,1
12-8-2015,4
12-9-2014,1
12-9-2015,10
2-1-2015,8
2-1-2015,1
2-10-2015,8
2-11-2015,4
2-12-2015,11
2-13-2015,9
2-14-2015,7
2-15-2015,7
2-16-2015,7
2-17-2015,7
2-18-2014,1
2-18-2015,1
2-19-2015,7
2-2-2015,11
2-20-2015,12
2-21-2015,3
2-22-2015,10
2-23-2015,8
2-24-2015,7
2-25-2015,7
2-26-2012,1
2-26-2015,5
2-27-2015,6
2-28-2015,10
2-3-2015,2
2-4-2015,6
2-6-2015,4
2-7-2015,6
2-8-2015,10
2-9-2015,4
3-1-2015,1
3-1-2015,2
3-10-2015,3
3-11-2015,8
3-12-2015,8
3-13-2015,6
3-14-2015,6
3-15-2015,8
3-16-2015,3
3-17-2015,8
3-18-2015,5
3-19-2015,5
3-2-2014,1
3-2-2015,3
3-20-2015,8
3-21-2015,4
3-22-2015,4
3-23-2015,9
3-24-2015,3
3-25-2015,9
3-26-2015,4
3-27-2015,3
3-28-2015,4
3-29-2013,1
3-29-2015,6
3-3-2013,1
3-3-2015,5
3-30-2015,10
3-31-2014,1
3-31-2015,3
3-4-2015,3
3-5-2011,1
3-5-2015,4
3-6-2015,6
3-7-2015,10
3-8-2015,5
3-9-2013,1
3-9-2015,10
4-1-2015,7
4-10-2015,9
4-11-2015,7
4-12-2015,7
4-13-2015,14
4-14-2010,1
4-14-2015,12
4-15-2011,1
4-15-2015,6
4-16-2015,3
4-17-2015,7
4-18-2015,7
4-19-2015,12
4-2-2015,5
4-20-2015,3
4-21-2015,12
4-22-2015,6
4-23-2015,8
4-24-2015,4
4-25-2015,4
4-26-2015,1
4-27-2015,4
4-28-2015,5
4-29-2013,1
4-29-2015,1
4-3-2014,1
4-3-2015,8
4-30-2015,7
4-4-2015,7
