DATE,HOMICIDIOS_MUJERES
1-1-2007,1
1-1-2008,2
1-1-2008,4
1-10-2008,4
1-11-2008,6
1-12-2008,5
1-13-2008,7
1-14-2008,4
1-15-2008,5
1-16-2008,9
1-17-2008,2
1-18-2008,6
1-19-2008,5
1-20-2008,2
1-21-2008,3
1-22-2008,3
1-23-2008,5
1-24-2008,1
1-25-2008,2
1-26-2008,4
1-27-2008,5
1-28-2008,2
1-29-2008,1
1-3-2008,5
1-30-2008,1
1-31-2008,4
1-4-2008,4
1-5-2008,3
1-6-2008,6
1-7-2008,3
1-8-2008,3
1-9-2008,1
10-10-2008,6
10-11-2008,4
10-12-2007,2
10-12-2008,3
10-13-2008,6
10-14-2008,3
10-15-2008,3
10-16-2007,1
10-16-2008,4
10-17-2008,7
10-18-2008,3
10-19-2008,5
10-2-2008,6
10-20-2008,5
10-21-2008,2
10-22-2008,7
10-23-2008,3
10-24-2008,2
10-25-2008,3
10-26-2008,4
10-27-2008,2
10-29-2008,4
10-3-2008,3
10-30-2008,5
10-31-2007,1
10-31-2008,5
10-4-2008,7
10-5-2008,2
10-6-2008,2
10-7-2008,7
10-8-2008,4
10-9-2008,4
11-1-2008,5
11-10-2008,6
11-11-2008,3
11-12-2008,5
11-13-2008,5
11-14-2008,2
11-15-2004,1
11-15-2007,1
11-15-2008,8
11-16-2008,4
11-17-2008,4
11-18-2008,1
11-19-2008,7
11-2-2008,10
11-20-2008,9
11-21-2007,1
11-21-2008,6
11-22-2008,6
11-23-2008,6
11-24-2008,4
11-25-2008,4
11-26-2008,2
11-28-2008,5
11-29-1999,1
11-29-2007,1
11-29-2008,3
11-3-2006,1
11-3-2008,10
11-30-2008,5
11-4-2008,5
11-5-2008,4
11-6-2008,3
11-7-2008,3
11-8-2008,6
11-9-2008,5
12-1-2008,1
12-1-2008,5
12-11-2007,1
12-11-2008,3
12-12-2008,2
12-13-2007,1
12-13-2008,6
12-14-2008,7
12-15-2008,7
12-16-2008,8
12-17-2007,1
12-17-2008,3
12-18-2007,2
12-18-2008,1
12-19-2007,1
12-19-2008,5
12-2-2008,1
12-20-2008,4
