DATE,HOMICIDIOS_MUJERES
1-1-2017,4
1-1-2018,11
1-1-2018,7
1-1-2022,20
1-10-2018,6
1-11-2018,11
1-12-2018,12
1-13-2011,1
1-13-2018,8
1-14-2017,1
1-14-2018,11
1-15-2018,9
1-16-2018,18
1-17-2017,1
1-17-2018,7
1-18-2018,10
1-19-2018,14
1-2-2018,5
1-20-2018,7
1-21-2018,11
1-22-2017,1
1-22-2018,4
1-23-2018,10
1-24-2016,1
1-24-2018,9
1-25-2018,8
1-26-2018,13
1-27-2017,1
1-27-2018,7
1-28-2018,11
1-29-2018,7
1-3-2018,8
1-30-2018,6
1-31-2018,12
1-4-2018,12
1-5-2018,10
1-6-2018,8
1-7-2018,10
1-8-2017,1
1-8-2018,13
1-9-2018,12
10-1-2018,8
10-1-2018,3
10-10-2018,8
10-11-2018,9
10-12-2018,7
10-13-2018,10
10-14-2018,14
10-15-2018,17
10-16-2016,1
10-16-2018,4
10-17-2018,8
10-18-2018,5
10-19-2016,1
10-19-2017,1
10-19-2018,18
10-2-2018,13
10-20-2018,7
10-21-2018,15
10-22-2018,9
10-23-2018,10
10-24-2018,14
10-25-2018,11
10-26-2018,5
10-27-2017,1
10-27-2018,7
10-28-2017,1
10-28-2018,14
10-29-2018,12
10-3-2018,8
10-30-2018,9
10-31-2018,11
10-4-2018,12
10-5-2018,12
10-6-2017,2
10-6-2018,4
10-7-2018,16
10-8-2016,1
10-8-2018,8
10-9-2018,2
11-1-2018,8
11-10-2018,11
11-11-2018,6
11-12-2018,6
11-13-2018,7
11-14-2012,1
11-14-2018,12
11-15-2018,9
11-16-2017,1
11-16-2018,13
11-17-2018,10
11-18-2018,11
11-19-2018,6
11-2-2017,1
11-2-2018,11
11-20-2018,11
11-21-2018,14
11-22-2017,3
11-22-2018,15
11-23-2018,6
11-24-2018,7
11-25-2018,16
11-26-2017,2
11-26-2018,8
11-27-2018,6
11-28-2018,5
11-29-2017,4
11-29-2018,11
11-3-2018,7
11-30-2017,1
11-30-2018,11
11-4-2018,10
11-5-2018,10
11-6-2018,9
11-7-2018,11
11-8-2018,4
11-9-2018,9
12-1-2018,3
12-1-2018,18
12-10-2017,1
12-10-2018,6
12-11-2016,2
12-11-2017,1
12-11-2018,9
12-12-2018,16
12-13-2018,9
12-14-2017,1
12-14-2018,12
12-15-2018,10
12-16-2018,10
12-17-2017,1
12-17-2018,8
12-18-2018,9
12-19-2015,1
12-19-2018,10
12-2-2017,1
12-2-2018,6
12-20-2018,14
12-21-2017,1
12-21-2018,8
12-22-2017,1
12-22-2018,13
12-23-2018,12
12-24-2017,3
12-24-2018,10
12-25-2017,1
12-25-2018,3
12-26-2018,9
12-27-2017,1
12-27-2018,4
12-28-2018,7
12-29-2018,5
12-3-2018,11
12-30-2017,1
12-30-2018,7
12-31-2017,2
12-31-2018,2
12-4-2017,2
12-4-2018,6
12-5-2016,1
12-5-2018,11
12-6-2018,12
12-7-2018,6
12-8-2018,13
12-9-2018,19
2-1-2018,3
2-10-2018,11
2-11-2018,7
2-12-2018,10
2-13-2018,4
2-14-2017,1
2-14-2018,10
2-15-2018,10
2-16-2018,22
2-17-2018,16
2-18-2018,12
2-19-2018,10
2-2-2018,6
2-20-2018,10
2-21-2018,9
2-22-2018,3
2-23-2018,16
2-24-2018,12
2-25-2018,11
2-26-2018,12
2-27-2018,2
2-28-2018,11
2-3-2018,8
2-4-2018,14
2-5-2018,12
2-6-2018,11
2-7-2018,4
2-8-2018,7
2-9-2018,9
3-1-2014,1
3-1-2017,1
3-1-2018,3
3-1-2018,11
3-10-2018,10
3-11-2018,11
3-12-2018,10
3-13-2018,14
3-14-2017,1
3-14-2018,12
3-15-2018,13
3-16-2018,15
3-17-2018,10
3-18-2018,12
3-19-2018,8
3-2-2018,7
3-20-2018,16
3-21-2018,7
3-22-2018,6
3-23-2018,13
3-24-2016,1
3-24-2018,8
3-25-2018,18
3-26-2018,11
3-27-2017,1
3-27-2018,12
3-28-2018,7
3-29-2018,6
3-3-2018,12
3-30-2018,5
3-31-2016,2
3-31-2017,1
3-31-2018,7
3-4-2018,15
3-5-2016,1
3-5-2018,7
3-6-2010,1
3-6-2018,9
3-7-2018,7
3-8-2018,8
3-9-2018,11
4-1-2018,7
4-1-2018,2
4-10-2018,16
4-11-2018,10
4-12-2018,7
4-13-2018,7
4-14-2018,14
4-15-2018,9
4-16-2018,13
4-17-2018,8
4-18-2018,10
4-19-2018,16
4-2-2018,9
4-20-2018,7
4-21-2018,6
4-22-2018,16
4-23-2018,9
4-24-2018,10
4-25-2018,12
4-26-2018,16
4-27-2018,3
4-28-2018,9
4-29-2018,6
4-3-2018,8
4-30-2018,11
4-4-2018,8
4-5-2016,1
4-5-2018,5
4-6-2018,16
4-7-2018,9
4-8-2018,6
4-9-2018,6
5-1-2018,6
5-1-2018,4
5-10-2015,1
5-10-2018,10
5-11-2018,7
5-12-2018,13
5-13-2018,11
5-14-2018,14
5-15-2018,9
5-16-2018,13
5-17-2018,10
5-18-2018,7
5-19-2016,1
5-19-2018,5
5-2-2018,15
5-20-2018,10
5-21-2018,8
5-22-2018,8
5-23-2018,20
5-24-2018,11
5-25-2018,11
5-26-2018,10
5-27-2018,11
5-28-2018,7
5-29-2018,11
5-3-2018,10
5-30-2018,6
5-31-2018,14
5-4-2017,2
5-4-2018,8
5-5-2018,14
5-6-2018,17
5-7-2018,10
5-8-2016,1
5-8-2017,1
5-8-2018,7
5-9-2018,8
6-1-2016,3
6-1-2018,17
6-1-2018,3
6-10-2017,1
6-10-2018,9
6-11-2018,16
6-12-2018,6
6-13-2018,5
6-14-2018,8
6-15-2018,21
6-16-2018,11
6-17-2018,7
6-18-2018,6
6-19-2018,10
6-2-2015,1
6-2-2018,14
6-20-2015,1
6-20-2018,9
6-21-2018,8
6-22-2018,10
6-23-2018,6
6-24-2018,12
6-25-2018,10
6-26-2018,9
6-27-2018,4
6-28-2018,12
6-29-2018,14
6-3-2018,7
6-30-2018,15
6-4-2018,4
6-5-2018,13
6-6-2018,17
6-7-2016,1
6-7-2018,9
6-8-2018,15
6-9-2018,11
7-1-2017,1
7-1-2018,2
7-1-2018,7
7-10-2018,12
7-11-2018,10
7-12-2017,1
7-12-2018,7
7-13-2017,1
7-13-2018,7
7-14-2018,17
7-15-2018,8
7-16-2017,2
7-16-2018,12
7-17-2018,13
7-18-2018,5
7-19-2018,9
7-2-2018,8
7-20-2018,11
7-21-2016,1
7-21-2018,9
7-22-2018,13
7-23-2018,12
7-24-2018,8
7-25-2018,9
7-26-2018,7
7-27-2018,3
7-28-2018,13
7-29-2017,1
7-29-2018,13
7-3-2018,9
7-30-2018,12
7-31-2018,11
7-4-2018,5
7-5-2018,11
7-6-2018,5
7-7-2018,9
7-8-2018,10
7-9-2018,12
8-1-2018,8
8-1-2018,1
8-10-2018,6
8-11-2018,12
8-12-2018,7
8-13-2018,7
8-14-2018,6
8-15-2018,9
8-16-2018,9
8-17-2018,11
8-18-2018,16
8-19-2018,11
8-2-2016,1
8-2-2018,12
8-20-2018,9
8-21-2018,10
8-22-2018,8
8-23-2018,9
8-24-2018,8
8-25-2018,13
8-26-2018,12
8-27-2016,1
8-27-2018,9
8-28-2018,9
8-29-2018,11
8-3-2018,12
8-30-2018,12
8-31-2018,10
8-4-2018,10
8-5-2018,16
8-6-2018,7
8-7-2018,10
8-8-2018,9
8-9-2017,1
8-9-2018,7
9-1-2018,1
9-1-2018,8
9-10-2018,16
9-11-2018,6
9-12-2018,5
9-13-2018,10
9-14-2018,18
9-15-2016,1
9-15-2018,16
9-16-2018,12
9-17-2018,8
9-18-2018,9
9-19-2018,12
9-2-2018,10
9-20-2018,7
9-21-2018,10
9-22-2018,9
9-23-2018,14
9-24-2018,11
9-25-2016,1
9-25-2018,5
9-26-2018,8
9-27-2018,10
9-28-2017,1
9-28-2018,13
9-29-2018,10
9-3-2018,19
9-30-2018,17
9-4-2017,1
9-4-2018,5
9-5-2018,7
9-6-2018,5
9-7-2018,5
9-8-2018,15
9-9-2018,12
