DATE,HOMICIDIOS_MUJERES
1-1-2018,4
1-1-2019,1
1-1-2020,1
1-1-2020,5
1-1-2020,17
1-1-2022,19
1-10-2019,1
1-10-2020,17
1-11-2020,21
1-12-2020,11
1-13-2020,12
1-14-2020,10
1-15-2020,12
1-16-2020,9
1-17-2020,11
1-18-2020,8
1-19-2020,9
1-2-2020,9
1-20-2020,9
1-21-2020,15
1-22-2020,11
1-23-2020,11
1-24-2020,11
1-25-2020,13
1-26-2020,12
1-27-2020,9
1-28-2020,7
1-29-2020,7
1-3-2019,1
1-3-2020,16
1-30-2020,12
1-31-2020,11
1-4-2020,18
1-5-2019,1
1-5-2020,10
1-6-2017,1
1-6-2020,16
1-7-2020,10
1-8-2020,9
1-9-2020,10
10-1-2018,1
10-1-2020,2
10-1-2020,11
10-10-2019,1
10-10-2020,10
10-11-2019,1
10-11-2020,13
10-12-2020,5
10-13-2020,3
10-14-2019,1
10-14-2020,10
10-15-2018,1
10-15-2020,11
10-16-2020,8
10-17-2019,2
10-17-2020,10
10-18-2019,1
10-18-2020,14
10-19-2019,2
10-19-2020,10
10-2-2020,15
10-20-2019,1
10-20-2020,11
10-21-2017,1
10-21-2019,1
10-21-2020,14
10-22-2020,8
10-23-2020,19
10-24-2020,5
10-25-2019,1
10-25-2020,10
10-26-2020,7
10-27-2020,15
10-28-2019,2
10-28-2020,11
10-29-2018,1
10-29-2020,12
10-3-2020,11
10-30-2020,6
10-31-2020,10
10-4-2020,10
10-5-2020,8
10-6-2020,9
10-7-2018,1
10-7-2020,7
10-8-2020,6
10-9-2020,11
11-1-2020,11
11-1-2020,2
11-10-2019,1
11-10-2020,4
11-11-2020,12
11-12-2020,5
11-13-2019,1
11-13-2020,6
11-14-2020,9
11-15-2020,13
11-16-2019,1
11-16-2020,11
11-17-2020,10
11-18-2020,7
11-19-2020,1
11-2-2018,1
11-2-2020,10
11-20-2018,1
11-20-2019,2
11-20-2020,9
11-21-2019,1
11-21-2020,10
11-22-2020,13
11-23-2020,9
11-24-2020,10
11-25-2020,10
11-26-2019,1
11-26-2020,10
11-27-2020,20
11-28-2020,11
11-29-2020,11
11-3-2020,8
11-30-2019,1
11-30-2020,6
11-4-2020,9
11-5-2019,2
11-5-2020,6
11-6-2020,11
11-7-2020,8
11-8-2020,12
11-9-2017,1
11-9-2019,1
11-9-2020,10
12-1-2019,1
12-1-2020,15
12-10-2020,7
12-11-2020,7
12-12-2020,6
12-13-2020,16
12-14-2020,11
12-15-2011,1
12-15-2019,1
12-15-2020,4
12-16-2020,5
12-17-2019,1
12-17-2020,5
12-18-2020,8
12-19-2020,11
12-2-2020,11
12-20-2020,12
12-21-2018,1
12-21-2019,1
12-21-2020,8
12-22-2020,16
12-23-2020,9
12-24-2019,1
12-24-2020,7
12-25-2019,1
12-25-2020,9
12-26-2019,2
12-26-2020,16
12-27-2020,8
12-28-2020,8
12-29-2019,2
12-29-2020,9
12-3-2019,2
12-3-2020,9
12-30-2020,4
12-31-2020,4
12-4-2019,1
12-4-2020,9
12-5-2019,2
12-5-2020,8
12-6-2020,10
12-7-2020,8
12-8-2019,1
12-8-2020,3
12-9-2019,1
12-9-2020,8
2-1-2020,7
2-1-2020,3
2-10-2020,7
2-11-2020,5
2-12-2020,5
2-13-2020,11
2-14-2020,11
2-15-2019,1
2-15-2020,15
2-16-2020,10
2-17-2020,11
2-18-2019,1
2-18-2020,10
2-19-2020,13
2-2-2020,4
2-20-2020,9
2-21-2020,12
2-22-2020,12
2-23-2020,5
2-24-2020,8
2-25-2020,18
2-26-2020,8
2-27-2020,2
2-28-2020,12
2-29-2020,12
2-3-2020,12
2-4-2020,12
2-5-2020,10
2-6-2019,1
2-6-2020,4
2-7-2020,13
2-8-2020,15
2-9-2020,18
3-1-2020,2
3-1-2020,8
3-10-2020,12
3-11-2020,16
3-12-2020,12
3-13-2020,17
3-14-2020,7
3-15-2020,9
3-16-2020,8
3-17-2020,9
3-18-2020,10
3-19-2019,1
3-19-2020,7
3-2-2020,9
3-20-2019,1
3-20-2020,6
3-21-2020,14
3-22-2020,15
3-23-2020,8
3-24-2020,15
3-25-2020,11
3-26-2020,19
3-27-2020,5
3-28-2020,10
3-29-2020,14
3-3-2018,1
3-3-2020,14
3-30-2020,14
3-31-2020,11
3-4-2020,6
3-5-2020,10
3-6-2020,8
3-7-2020,10
3-8-2017,1
3-8-2020,7
3-9-2020,14
4-1-2019,1
4-1-2020,15
4-1-2020,3
4-10-2020,11
4-11-2020,12
4-12-2020,8
4-13-2020,14
4-14-2020,10
4-15-2020,14
4-16-2020,12
4-17-2020,13
4-18-2020,7
4-19-2020,17
4-2-2020,15
4-20-2020,15
4-21-2020,6
4-22-2020,10
4-23-2020,9
4-24-2020,10
4-25-2019,4
4-25-2020,12
4-26-2020,17
4-27-2020,10
4-28-2020,7
4-29-2020,8
4-3-2020,17
4-30-2020,14
4-4-2020,11
